"PostalCode","City","StateProvince","Country","YearlyIncome","Gender","Education","MaritalStatus","TotalChildren"
"15057","Tlaxiaco","Oaxaca","Mexico","$110K - $130K","F","Partial College","S",4
"17172","Sooke","BC","Canada","$50K - $70K","M","Graduate Degree","M",1
"73980","Issaquah","WA","USA","$30K - $50K","F","Partial High School","M",1
"74674","Burnaby","BC","Canada","$10K - $30K","M","Partial High School","S",4
"57355","Novato","CA","USA","$110K - $130K","F","High School Degree","M",3
"90792","Lynnwood","WA","USA","$110K - $130K","F","Partial College","M",3
"13343","Tlaxiaco","Oaxaca","Mexico","$90K - $110K","F","Partial College","M",2
"12942","San Andres","DF","Mexico","$130K - $150K","M","High School Degree","S",2
"17256","Richmond","BC","Canada","$90K - $110K","M","Graduate Degree","M",5
"82017","Lake Oswego","OR","USA","$50K - $70K","M","Partial College","M",4
"35890","La Mesa","CA","USA","$10K - $30K","M","Graduate Degree","S",4
"40520","Chula Vista","CA","USA","$90K - $110K","F","Graduate Degree","S",1
"59554","Mexico City","Mexico","Mexico","$110K - $130K","M","Bachelors Degree","S",4
"30346","Lincoln Acres","CA","USA","$70K - $90K","F","Bachelors Degree","M",2
"15542","Oak Bay","BC","Canada","$130K - $150K","M","Partial High School","M",3
"77787","Camacho","Zacatecas","Mexico","$30K - $50K","F","Bachelors Degree","S",2
"28530","Arcadia","CA","USA","$90K - $110K","M","Partial College","S",3
"49680","Altadena","CA","USA","$30K - $50K","M","Partial College","S",3
"21486","Oakland","CA","USA","$130K - $150K","F","Bachelors Degree","S",1
"88762","Spring Valley","CA","USA","$110K - $130K","F","High School Degree","M",2
"71442","Renton","WA","USA","$70K - $90K","M","Partial College","M",1
"78588","Bellingham","WA","USA","$50K - $70K","F","High School Degree","M",4
"27430","La Jolla","CA","USA","$90K - $110K","F","High School Degree","S",2
"99737","Santa Fe","DF","Mexico","$70K - $90K","F","Partial College","S",0
"65710","Haney","BC","Canada","$50K - $70K","F","Graduate Degree","S",3
"51809","Burbank","CA","USA","$90K - $110K","M","High School Degree","S",0
"58052","Anacortes","WA","USA","$90K - $110K","F","Bachelors Degree","M",1
"88974","Everett","WA","USA","$130K - $150K","F","Partial College","M",1
"90098","Oak Bay","BC","Canada","$150K +","F","Graduate Degree","M",2
"78800","Milwaukie","OR","USA","$50K - $70K","F","Partial College","M",4
"63996","Concord","CA","USA","$110K - $130K","F","Partial College","S",4
"99949","Ladner","BC","Canada","$70K - $90K","F","High School Degree","M",2
"51307","Santa Cruz","CA","USA","$130K - $150K","F","Bachelors Degree","S",2
"53422","La Mesa","CA","USA","$110K - $130K","F","Graduate Degree","M",3
"69940","Merida","Yucatan","Mexico","$30K - $50K","M","Bachelors Degree","S",5
"38217","Oregon City","OR","USA","$130K - $150K","M","Bachelors Degree","S",1
"93604","Seattle","WA","USA","$90K - $110K","M","Bachelors Degree","S",0
"28043","Arcadia","CA","USA","$70K - $90K","M","High School Degree","M",1
"49592","Lebanon","OR","USA","$50K - $70K","F","Bachelors Degree","S",4
"49192","Santa Cruz","CA","USA","$30K - $50K","M","High School Degree","M",1
"36903","W. Linn","OR","USA","$70K - $90K","M","High School Degree","S",1
"94169","San Andres","DF","Mexico","$90K - $110K","F","High School Degree","M",3
"48042","Burbank","CA","USA","$110K - $130K","F","Partial College","S",2
"52673","Bellflower","CA","USA","$150K +","M","Bachelors Degree","S",1
"71706","Renton","WA","USA","$30K - $50K","M","Graduate Degree","M",5
"68791","Mill Valley","CA","USA","$70K - $90K","F","High School Degree","S",1
"53986","Oak Bay","BC","Canada","$130K - $150K","M","High School Degree","M",0
"89939","Camacho","Zacatecas","Mexico","$70K - $90K","M","Partial College","M",0
"41297","Arcadia","CA","USA","$90K - $110K","F","Graduate Degree","S",4
"43412","Altadena","CA","USA","$70K - $90K","M","Bachelors Degree","S",4
"33639","Oakland","CA","USA","$130K - $150K","F","High School Degree","M",4
"19185","Tixapan","DF","Mexico","$90K - $110K","F","Partial College","M",3
"83595","Oak Bay","BC","Canada","$110K - $130K","M","High School Degree","M",4
"18033","Metchosin","BC","Canada","$90K - $110K","F","Partial College","S",0
"39583","Grossmont","CA","USA","$70K - $90K","M","Partial High School","S",3
"39182","Imperial Beach","CA","USA","$50K - $70K","M","High School Degree","M",3
"26893","San Andres","DF","Mexico","$30K - $50K","M","Bachelors Degree","M",3
"65362","Oakland","CA","USA","$70K - $90K","F","Bachelors Degree","M",3
"70204","Burnaby","BC","Canada","$70K - $90K","M","Partial College","M",5
"74834","Langley","BC","Canada","$110K - $130K","M","Bachelors Degree","S",3
"93868","Tacoma","WA","USA","$130K - $150K","M","Bachelors Degree","M",1
"64660","Santa Monica","CA","USA","$30K - $50K","M","Graduate Degree","M",1
"49856","Tlaxiaco","Oaxaca","Mexico","$90K - $110K","F","Partial College","S",4
"85809","Beaverton","OR","USA","$50K - $70K","M","Partial College","M",4
"37167","Metchosin","BC","Canada","$110K - $130K","F","Bachelors Degree","S",0
"39282","Metchosin","BC","Canada","$50K - $70K","F","High School Degree","S",4
"55800","Westminster","BC","Canada","$110K - $130K","M","Bachelors Degree","S",3
"24077","Hidalgo","Zacatecas","Mexico","$110K - $130K","F","Partial College","M",0
"79465","Los Angeles","CA","USA","$30K - $50K","M","Bachelors Degree","S",1
"13903","Coronado","CA","USA","$30K - $50K","M","High School Degree","S",0
"61745","La Cruz","Sinaloa","Mexico","$130K - $150K","M","Partial High School","S",5
"35052","Shawnee","BC","Canada","$130K - $150K","F","Graduate Degree","M",5
"49055","Yakima","WA","USA","$130K - $150K","F","Partial College","M",4
"87524","Ballard","WA","USA","$130K - $150K","M","High School Degree","S",3
"35227","Lynnwood","WA","USA","$130K - $150K","F","Bachelors Degree","M",3
"66150","Port Orchard","WA","USA","$130K - $150K","F","Bachelors Degree","S",1
"85184","Downey","CA","USA","$150K +","M","High School Degree","S",2
"55976","Salem","OR","USA","$90K - $110K","M","High School Degree","S",1
"41172","Tacoma","WA","USA","$110K - $130K","M","Bachelors Degree","S",2
"77125","Lemon Grove","CA","USA","$50K - $70K","F","Bachelors Degree","M",1
"28482","Milwaukie","OR","USA","$110K - $130K","M","Partial College","S",2
"30597","Richmond","CA","USA","$50K - $70K","F","Graduate Degree","M",4
"47116","Arcadia","CA","USA","$110K - $130K","F","Bachelors Degree","S",3
"88099","Haney","BC","Canada","$110K - $130K","M","Bachelors Degree","M",4
"70780","Novato","CA","USA","$30K - $50K","M","Partial College","M",3
"52198","Bremerton","WA","USA","$30K - $50K","M","Partial College","S",4
"26768","N. Vancouver","BC","Canada","$130K - $150K","F","High School Degree","M",4
"26367","Milwaukie","OR","USA","$130K - $150K","F","Graduate Degree","M",2
"14079","Woodland Hills","CA","USA","$150K +","F","High School Degree","S",4
"78839","Sooke","BC","Canada","$150K +","F","Partial College","M",2
"32712","Long Beach","CA","USA","$10K - $30K","M","Graduate Degree","S",1
"61730","Arcadia","CA","USA","$50K - $70K","M","Partial High School","M",4
"80763","Woodburn","OR","USA","$70K - $90K","M","High School Degree","S",5
"77848","Vancouver","BC","Canada","$10K - $30K","M","High School Degree","S",1
"63043","Tlaxiaco","Oaxaca","Mexico","$90K - $110K","F","High School Degree","M",2
"98996","Beaverton","OR","USA","$30K - $50K","M","Graduate Degree","S",0
"50354","Richmond","BC","Canada","$90K - $110K","M","Partial College","S",4
"52469","Richmond","BC","Canada","$30K - $50K","F","Partial College","S",1
"42696","Port Orchard","WA","USA","$90K - $110K","F","High School Degree","M",3
"10972","San Jose","CA","USA","$90K - $110K","F","Graduate Degree","S",2
"92652","N. Vancouver","BC","Canada","$10K - $30K","F","Partial High School","S",1
"99797","Langford","BC","Canada","$150K +","M","Partial College","M",2
"48640","Acapulco","Guerrero","Mexico","$130K - $150K","M","Partial High School","S",5
"48239","Hidalgo","Zacatecas","Mexico","$10K - $30K","F","Partial College","S",1
"35950","National City","CA","USA","$130K - $150K","M","Partial College","M",3
"74419","Long Beach","CA","USA","$30K - $50K","M","Partial College","M",5
"54584","Cliffside","BC","Canada","$130K - $150K","M","Partial College","M",2
"59214","Shawnee","BC","Canada","$30K - $50K","M","Partial High School","M",1
"76633","Newton","BC","Canada","$50K - $70K","M","High School Degree","S",2
"47425","West Covina","CA","USA","$130K - $150K","M","Graduate Degree","M",3
"32621","Palo Alto","CA","USA","$10K - $30K","F","Graduate Degree","M",2
"68574","Santa Monica","CA","USA","$90K - $110K","F","High School Degree","M",4
"19932","Sooke","BC","Canada","$10K - $30K","F","Partial College","S",2
"22047","Sooke","BC","Canada","$110K - $130K","F","Partial College","S",3
"38565","Altadena","CA","USA","$110K - $130K","F","Partial High School","S",3
"68422","Burnaby","BC","Canada","$110K - $130K","M","High School Degree","S",2
"62230","Albany","OR","USA","$30K - $50K","F","Bachelors Degree","S",3
