OrderID	CustomerID	customer	Product	CategoryName	Quantity	UnitPrice	Discount	Supplier	shipper	PostalCode	City	Region	Country	OrderDate	RequiredDate	ShippedDate	UpdateFlag
10726	EASTC	Eastern Connection	Chef Anton's Cajun Seasoning	Condiments	25	22	0	New Orleans Cajun Delights	Speedy Express	WX3 6FW	London		UK	1997-11-03 00:00:00	1997-11-17 00:00:00	1997-12-05 00:00:00	I
10726	EASTC	Eastern Connection	Queso Cabrales	Dairy Products	5	21	0	Cooperativa de Quesos 'Las Cabras'	Speedy Express	WX3 6FW	London		UK	1997-11-03 00:00:00	1997-11-17 00:00:00	1997-12-05 00:00:00	I
10727	REGGC	Reggiani Caseifici	Alice Mutton	Meat/Poultry	20	39	5.0000001E-2	Pavlova, Ltd.	Speedy Express	42100	Reggio Emilia		Italy	1997-11-03 00:00:00	1997-12-01 00:00:00	1997-12-05 00:00:00	I
10727	REGGC	Reggiani Caseifici	Gnocchi di nonna Alice	Grains/Cereals	10	38	5.0000001E-2	Pasta Buttini s.r.l.	Speedy Express	42100	Reggio Emilia		Italy	1997-11-03 00:00:00	1997-12-01 00:00:00	1997-12-05 00:00:00	I
10727	REGGC	Reggiani Caseifici	Raclette Courdavault	Dairy Products	10	55	5.0000001E-2	Gai pâturage	Speedy Express	42100	Reggio Emilia		Italy	1997-11-03 00:00:00	1997-12-01 00:00:00	1997-12-05 00:00:00	I
10728	QUEEN	Queen Cozinha	Nord-Ost Matjeshering	Seafood	15	25.89	0	Nord-Ost-Fisch Handelsgesellschaft mbH	Federal Shipping	05487-020	Sao Paulo	SP	Brazil	1997-11-04 00:00:00	1997-12-02 00:00:00	1997-11-11 00:00:00	I
10728	QUEEN	Queen Cozinha	Boston Crab Meat	Seafood	6	18.4	0	New England Seafood Cannery	Federal Shipping	05487-020	Sao Paulo	SP	Brazil	1997-11-04 00:00:00	1997-12-02 00:00:00	1997-11-11 00:00:00	I
10728	QUEEN	Queen Cozinha	Pâté chinois	Meat/Poultry	12	24	0	Ma Maison	Federal Shipping	05487-020	Sao Paulo	SP	Brazil	1997-11-04 00:00:00	1997-12-02 00:00:00	1997-11-11 00:00:00	I
10728	QUEEN	Queen Cozinha	Camembert Pierrot	Dairy Products	15	34	0	Gai pâturage	Federal Shipping	05487-020	Sao Paulo	SP	Brazil	1997-11-04 00:00:00	1997-12-02 00:00:00	1997-11-11 00:00:00	I
10729	LINOD	LINO-Delicateses	Chai	Beverages	50	18	0	Exotic Liquids	Federal Shipping	4980	I. de Margarita	Nueva Esparta	Venezuela	1997-11-04 00:00:00	1997-12-16 00:00:00	1997-11-14 00:00:00	I
10729	LINOD	LINO-Delicateses	Sir Rodney's Scones	Confections	30	10	0	Specialty Biscuits, Ltd.	Federal Shipping	4980	I. de Margarita	Nueva Esparta	Venezuela	1997-11-04 00:00:00	1997-12-16 00:00:00	1997-11-14 00:00:00	I
10729	LINOD	LINO-Delicateses	Valkoinen suklaa	Confections	40	16.25	0	Karkki Oy	Federal Shipping	4980	I. de Margarita	Nueva Esparta	Venezuela	1997-11-04 00:00:00	1997-12-16 00:00:00	1997-11-14 00:00:00	I
10730	BONAP	Bon app'	Pavlova	Confections	15	17.45	5.0000001E-2	Pavlova, Ltd.	Speedy Express	13008	Marseille		France	1997-11-05 00:00:00	1997-12-03 00:00:00	1997-11-14 00:00:00	I
10730	BONAP	Bon app'	Gorgonzola Telino	Dairy Products	3	12.5	5.0000001E-2	Formaggi Fortini s.r.l.	Speedy Express	13008	Marseille		France	1997-11-05 00:00:00	1997-12-03 00:00:00	1997-11-14 00:00:00	I
10730	BONAP	Bon app'	Louisiana Fiery Hot Pepper Sauce	Condiments	10	21.05	5.0000001E-2	New Orleans Cajun Delights	Speedy Express	13008	Marseille		France	1997-11-05 00:00:00	1997-12-03 00:00:00	1997-11-14 00:00:00	I
